Year,Month,BeerConsumption,AvgBeerPrice,AvgRakiPrice,AvgCannedSoftDrinkPrice,AvgCannedBeerPrice,AvgDraftBeerPrice,Czechoslovakia,Germany,UnitedKingdom,UnitedStates,France,Others,RamadanDays,TouristBeerConsumption
1987,January,13621800,1338.424655881456,9715.74,2208.12,2671.75,971.5740389712734,290,28056,11380,25060,9246,35135,0,27226.000714711074
1987,February,14346944,1314.4416182238117,9460.31,2150.07,2866.475,946.0311966614153,253,29715,20630,21648,11941,38488,0,30473.275997617566
1987,March,14912839,1267.5425440923927,9122.77,2073.36,2764.199,912.2769495288478,478,67370,30506,30386,15810,53071,0,52677.4494341869
1987,April,16129850,1241.4716396595427,8935.13,2030.71,2707.345,893.5131728979902,1025,271147,70016,43137,94247,141639,2,168507.6617033945
1987,May,12140503,1183.481067358954,8517.76,1935.85,2580.882,851.7761419427934,2776,405921,165298,69696,155816,225780,28,274701.48397855816
1987,June,29759419,1184.6657330920461,8526.29,2034.68,2583.465,852.6287707135068,8785,381631,232010,109948,121463,308797,0,307599.9964264437
1987,July,29010493,1473.1796952258744,8367.31,2218.6,3169.118,962.2405165069018,3237,373879,210241,83961,134242,398464,0,308004.0456223936
1987,August,28234263,1448.554272591814,8227.44,2181.52,3116.144,946.1558667717816,3282,402119,216347,85511,144832,444706,0,330397.6145324591
1987,September,26272625,1407.7300997004995,7995.57,2120.04,3028.322,919.4906382621784,10501,421316,263963,91515,108564,346902,0,333429.78046456154
1987,October,22035294,1343.2539119279575,7629.36,2022.94,2889.621,882.2987318849259,6286,365320,189557,88835,59556,230538,0,262666.25134008285
1987,November,17960159,1318.2415420524203,7183.96,1904.84,2720.923,969.8340787331645,1144,72387,36572,48443,30745,72112,0,65895.01953543762
1987,December,18757837,1185.4690126370683,6906.96,1910.33,2446.874,872.1529485010471,498,35740,22111,19920,16339,55010,0,36375.745681953464
1988,January,12802055,1333.1275111465397,6530.05,1846.88,2308.371,822.785800472686,344,52355,26308,31496,14230,68696,0,48764.458844550216
1988,February,15516003,1285.5617272387076,6297.06,1780.99,2226.009,793.4289300604494,400,46648,38466,31334,15076,68606,0,49998.339964264334
1988,March,17597579,1437.2632998289812,8375.53,1688.14,2491.115,903.0175187968218,901,148643,48904,26722,25652,91560,0,95920.28243001764
1988,April,12754024,1375.4215943650313,7962.11,1761.79,2384.137,865.5282174149486,1198,255604,104152,61791,128322,211793,13,193032.8759976172
1988,May,20787347,1328.9097530096922,7692.86,1919.79,2303.514,836.2591472608198,2806,552765,304611,85107,207193,371983,16,404481.7814175096
1988,June,28368417,1317.0562467885948,7624.24,1902.66,2282.967,828.7999477312388,13762,490102,392675,114347,172555,407482,0,419544.0527695049
1988,July,34877186,1296.3152035320818,7504.18,1872.7,2247.015,815.7479800504319,3415,532291,353162,97836,167648,497163,0,432170.9656938645
1988,August,36146243,1265.9328159492986,7328.3,1828.81,2501.088,843.3519886312258,3043,520799,381921,106218,173541,578776,0,453192.7649791534
1988,September,27179604,1408.9273769900328,6920.02,1726.92,2417.446,889.0184159999999,12838,615763,415364,100093,160740,475224,0,480728.1846337096
1988,October,22165713,1334.2115312405613,6553.04,1635.34,2289.248,841.8735,2235,507863,219645,124586,98167,368581,0,360997.01870160736
1988,November,20281016,1267.0574845589376,7443.45,1553.03,2205.083,809.75,1144,105058,39398,50366,70389,118472,0,92259.18820726604
1988,December,16013716,1416.2668174178086,7500.0,1700.88,2424.0,880.0,551,72087,29701,35933,26620,127741,0,70503.73067301948
1989,January,13422840,1336.6006523001408,7035.65,1705.61,2273.921,825.5159474671669,291,38333,20574,29775,14596,60193,0,39934.05920190581
1989,February,15152649,1275.3823018131116,6713.4,1627.49,2169.772,787.70605674348,389,43915,25966,27178,16078,64191,0,43849.20655151867
1989,March,20123646,1238.2352444787489,6517.87,1580.09,2106.575,764.7631618868737,789,167837,34564,36776,45181,131524,0,111023.13710541962
1989,April,15813022,1165.946557889594,6137.35,1835.01,2181.951,720.1159716448905,349,314960,53016,52965,182874,246817,24,211292.8773079209
1989,May,23793899,1344.6225474078983,5958.59,1926.01,2407.272,699.141720043583,5951,671808,302834,115939,241845,457344,5,477114.70041691384
1989,June,30192721,1316.9662560312424,7568.32,2295.12,2656.409,803.0387488702894,18605,526295,346237,128102,179876,452704,0,435029.8862418097
1989,July,38459344,1367.6132628490275,8633.99,2289.32,2746.904,846.1309915092988,5120,561926,289154,111730,148456,559279,0,439277.3160214404
1989,August,43417548,1321.3654713517174,8342.02,2211.9,2654.013,817.5178661925593,7006,561727,339179,103093,188731,721991,0,486021.49148302455
1989,September,33773811,1251.2930599921567,7899.64,2094.6,2513.27,774.1646460156811,15409,659344,304938,145023,151971,536600,0,489066.5727218572
1989,October,27549425,1178.2420527233114,7438.45,1972.32,2366.544,728.9685932351045,1754,518515,170505,134892,94212,409394,0,360877.9402025007
1989,November,29333178,1129.6663976254183,7904.4,1891.0,2268.978,698.915238001059,833,95801,28566,51152,46870,101163,0,80133.22942227499
1989,December,19763643,1286.5621420680063,8714.3,1848.49,2217.965,837.4729304714233,801,59517,19268,24190,18916,97185,0,53780.12614651566
1990,January,16986003,1302.0812847900627,8395.28,1780.82,2136.77,822.7379590246336,522,46845,19655,31098,16449,76445,0,46510.18046456213
1990,February,18601868,1247.204295775922,8299.94,1705.76,2046.71,788.0631791423693,743,57397,26066,26215,20536,82756,0,52804.73317450851
1990,March,22375483,1185.5554142356675,8408.37,1621.45,1945.54,749.1094858767771,1009,148821,33694,41694,28600,140679,4,104768.65026801644
1990,April,16809799,1369.6155155634822,7887.78,2028.08,2235.73,884.0788582338045,4228,403050,64607,60153,205956,491878,25,298854.0657534239
1990,May,30775524,1355.9630161947318,7650.61,2003.59,2212.76,876.342543947984,8417,659547,221414,158446,253283,603549,0,489470.47075640154
1990,June,41374550,1337.2416333281376,7544.98,1891.44,2182.21,864.2431399881499,17411,698585,272133,147308,256460,702312,0,538068.772960094
1990,July,44792828,1349.3861083028635,7613.5,1908.62,2202.03,872.0919676974268,18324,710961,403290,153887,220479,867979,0,607342.8863609278
1990,August,48716164,1316.4742520027933,7427.81,1977.58,2148.32,850.8214318999286,29010,720581,284663,102024,249543,894593,0,579044.7874925538
1990,September,39515229,1211.107867527869,7816.89,1897.51,2108.28,855.198890628229,37056,714155,223612,121424,152392,614365,0,505999.74151280406
1990,October,26955389,1383.1904937758477,7852.37,1850.73,2221.06,936.4680291586968,59724,475003,144495,119167,68852,364389,0,348475.28767123213
1990,November,28055370,1317.3242797865219,7478.45,1762.6,2115.29,891.8743134844732,62220,78625,23727,26786,29536,72093,0,86773.92424061925
1990,December,26599131,1295.4653594729823,7353.44,1733.13,2173.395,876.9658932984005,43766,61650,15145,13730,15532,65410,0,63958.803811792604
1991,January,18437303,1386.6378387938905,7009.95,1652.18,2074.59,836.0018048602484,7433,49506,21469,25250,14485,67107,0,47789.90375223337
1991,February,19104121,1315.595672479972,8339.9,1567.53,1968.302,793.1705928465354,10462,39371,15181,11763,11909,42104,0,35524.5349612864
1991,March,21744738,1260.1491115708545,8258.06,1501.47,1885.346,759.7419471710109,28260,96208,19392,13641,12870,64508,15,70791.80512209634
1991,April,16856623,1480.456245347388,7746.78,1408.5,2226.203,892.4287494300153,56223,118812,38736,20311,41213,106460,15,109461.03799880858
1991,May,33722887,1433.1619025628152,7499.3,1513.06,2155.085,863.9194089351552,120703,345634,99186,32204,45674,198778,0,260877.0812388321
